"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords"
"Romão S.; Ribeiro N.; Gomes D.R.; Singh S.","Romão, Soraia (57901041600); Ribeiro, Neuza (57220187585); Gomes, Daniel Roque (51061158200); Singh, Sharda (57214305148)","57901041600; 57220187585; 51061158200; 57214305148","The Impact of Leaders’ Coaching Skills on Employees’ Happiness and Turnover Intention","2022","Administrative Sciences","12","3","84","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138531384&doi=10.3390%2fadmsci12030084&partnerID=40&md5=b5af7c96b69cb5cafadf7453114edd35","This study seeks to provide a more comprehensive understanding of how leaders with coaching skills can affect an individual’s turnover intention through the mediating role of happiness. The sample includes 271 individuals from diverse organizations. Based on a survey, employees assessed their leaders’ coaching skills and reported their own happiness and turnover intention. The findings demonstrate that leaders’ coaching skills have a negative impact on employees’ turnover intention and a positive impact on their happiness, with the latter mediating the relationship between the first two variables. Organizations should note that a leader’s coaching skills are useful not only for the employee’s happiness, but also for avoiding turnover intention; therefore, organizations should encourage leaders to integrate more coaching skills into their leadership styles. The identification of an employee’s happiness as a mediator of the relationship between a leader’s coaching skills and employees’ turnover intention is an original contribution, thereby extending previous research over these topics. © 2022 by the authors.","happiness; leaders’ coaching skills; turnover intention",""
"Ma W.; Li R.Y.M.; Manta O.; Alzuman A.","Ma, Wei (59005005200); Li, Rita Yi Man (35189135600); Manta, Otilia (56968091500); Alzuman, Abad (57219156550)","59005005200; 35189135600; 56968091500; 57219156550","Balancing Wellbeing and Responsibility: CSR’s Role in Mitigating Burnout in Hospitality under UN-SDGs","2024","Sustainability (Switzerland) ","16","8","3374","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191452678&doi=10.3390%2fsu16083374&partnerID=40&md5=4aaf693bd669cf0c32c8032ba27abfa0","This study investigates the effect of Corporate Social Responsibility (CSR) on burnout among employees in China’s hospitality industry, highlighting wellness as an essential driver of success and its correlation to the United Nations Sustainable Development Goals. It looks at CSR’s impact on stress, with employee happiness and resilience acting as mediators, whereas altruism is supposed to act as a moderator. This study collected data from various hospitality organizations across major cities in China over three phases through well-known scales. The findings of structural equation modeling show a negative relationship between CSR and burnout with the mediating effects of happiness and resilience moderated by altruism. The above findings highlight how CSR can reduce worker fatigue while creating a positive work environment within the hospitality sector. This study enriches theoretical knowledge and practical strategies for enhancing employee wellbeing, emphasizing the role of strategic CSR in creating a more sustainable and productive hospitality sector. © 2024 by the authors.","CSR; emotions and values; employee wellbeing; mental health; tourism and hospitality; UN-SDGs","China; burning; corporate social responsibility; hospitality industry; mental health; Sustainable Development Goal; workplace"
"Liu Y.; Ahmad N.; Lho L.H.; Han H.","Liu, Yuxiang (57221697832); Ahmad, Naveed (57220974916); Lho, Linda Heejung (57208189961); Han, Heesup (21233360400)","57221697832; 57220974916; 57208189961; 21233360400","From boardroom to breakroom: Corporate social responsibility, happiness, green self-efficacy, and altruistic values shape sustainable behavior","2024","Social Behavior and Personality","52","2","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185613852&doi=10.2224%2fsbp.12982&partnerID=40&md5=8873066ca8c774a03fffa682a7ce5556","Addressing environmental challenges, such as climate change, requires integrating consumers’ social behavior and personality traits. This study examined how corporate social responsibility (CSR) influences employees’ energy-specific proenvironmental behavior in the hospitality sector, considering the mediating role of green self-efficacy and employee happiness, and the moderating role of altruistic values. Using structural equation modeling of data from a survey of 418 employees in Pakistan, this study found that CSR had a positive impact on energy-specific proenvironmental behavior, with green self-efficacy and employee happiness acting as mediators, and altruistic values acting as a moderator. The findings suggest that CSR initiatives tailored to consumers’ social behavior and personality traits can effectively promote sustainable energy consumption behavior among employees. © 2024 Scientific Journal Publishers. All rights reserved.","altruism; consumer behavior; corporate social responsibility; employee happiness; green self-efficacy; proenvironmental behavior; sustainability","altruism; article; behavior; climate change; consumer; consumer attitude; corporate social responsibility; employee; energy consumption; female; happiness; human; male; Pakistan; personality; pro-environmental behavior; self concept; social behavior; structural equation modeling"
"Ravina-Ripoll R.; Galvan-Vela E.; Sorzano-Rodríguez D.M.; Ruíz-Corrales M.","Ravina-Ripoll, Rafael (57204642774); Galvan-Vela, Esthela (57220863350); Sorzano-Rodríguez, Deisy Milena (57222257272); Ruíz-Corrales, Missael (57285708700)","57204642774; 57220863350; 57222257272; 57285708700","Mapping intrapreneurship through the dimensions of happiness at work and internal communication","2023","Corporate Communications","28","2","","230","248","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133395213&doi=10.1108%2fCCIJ-03-2022-0037&partnerID=40&md5=c7a34eaf5484965bff04e3e0037d3bff","Purpose: This article explores how internal communication impacts happiness at work and intrapreneurship through the dimensions of communication climate and communication in meetings. Design/methodology/approach: Literature analysis and quantitative empirical data collection are used to achieve this study's purpose. The study employed a non-experimental, cross-sectional, explanatory design. A questionnaire of closed-ended questions was used, adapted from validated scales for measuring constructs, and apply to 156 employees of industrial, service and commercial companies in the Northeast of Mexico. The analysis techniques used included exploratory factor analysis and structural equation modelling. Findings: In the descriptive analysis of the data, the authors find that 57.7% of the sample is satisfied with the communication climate, 28.85% moderately satisfied, and 13.47% dissatisfied. Regarding the levels of happiness at work, high (71.15%), medium (21.15%) and low (7.7%) levels were found. In intrapreneurship, high (67.31%), medium (26.92%) and low (5.77%) levels were found. The exploratory factorial analysis showed that the instrument was adequate for measuring the variables. Good correlations were also found between the items that make up each variable. Finally, the relationship between internal communication, measured by the dimensions of communicative climate and communication in meetings, and happiness at work was verified using the structural equation technique. The latter has a positive impact on intrapreneurship. Research limitations/implications: This article has some theoretical and methodological limitations like any other academic work. They would be interesting to address in future research. In this way, it is possible to empirical examine the variables of intrapreneurship, internal communication and happiness (Ravina-Ripoll et al., 2021c). The first is the study's cross-sectional design and data collection by a non-probabilistic sample, carried out in a single source. Both aspects mean that our study is not free of corresponding biases; this may result in the findings of the present work not being statistically correct. The second derives from the absence in the literature of structural equation modelling studies that analyse the constructs that make up the object of this academic work in a multidimensional way. However, although an influence I show between the variables, it is recommended to take the data with discretion. There is still a need for more empirical evidence to support these relationships before generalised results can be presumed. Despite the remarkable progress made in recent years in the literature on the three dimensions of this article, few scientific studies examine inferentially how internal communication and intra-entrepreneurship influence employees' happiness at work in today's digital society. The authors of this academic work consider it attractive for future research to address the analysis of internal communication strategic management models. It is a robust driver of intra-entrepreneurship and employee happiness in organisations (Galván-Vela et al., 2022a). In conclusion, from this heuristic perspective, companies can improve, on the one hand, their competitive position in the market. Their managers must cultivate an organisational culture that emphasises internal communication as a catalyst for innovation, employee loyalty, and productive efficiency. On the other hand, companies will be able to invigorate their corporate image to face the significant challenges in the globalised economy, thus to become sustainable, humane, ecological intra-entrepreneurial corporations (Galván-Vela et al., 2021a). It may lead to a more social, inclusive, prosperous and egalitarian ecosystem. In this way, it makes the culture of organisations around the pillars of happiness management, social marketing and the Sustainable Development Goals shine (Galván-Coronil et al., 2021). Practical implications: This section does not attempt to argue that internal communication and intrapreneurship constitute two intangible resources that improve organisations' productivity and collective happiness (Lee and Kim, 2022). However, it is necessary to clarify that the results achieved in this academic study show two fundamental aspects. The first is to invite managers of companies in the post-Covid-19 era to cultivate a culture based on happiness management. It makes internal communication a fast vehicle that exponentially boosts intrapreneurship, among other things (Castillo-Abdul et al., 2021). To this end, their strategic management models must carry out a diametrical shift in their innovation and internal communication actions. On the one hand, it allows for building loyalty among their creative talent. It does this by creating an organisational climate that encourages interpersonal relationships, the spirit of teamwork, collaborative participation, and disruptive thinking (Thelen and Formanchuk, 2022). On the other hand, promoting an ethical, assertive and empathetic leadership style proactively stimulates the commitment, trust and passion for the work of all members of the company (Men and Yue, 2019). The second is to emphasise implementing a constructive, friendly and positive intra-organisational language. In this way, it is dynamising the collective happiness of its human capital through the figure of the Chief Happiness (Jiménez-Marín et al., 2021b). Originality/value: Intrapreneurship, internal communication and happiness at work are topics of great interest in academic agendas in recent years. It is basically because these three dimensions, individually or jointly, have positive effects on the productivity of organisations. However, no research flow evidences our theoretical model proposed in this article. Therefore, there is a need for future studies that advance the literature in the area of business. In this way, we will have more data on how these constructs affect the life of organisations in the post-Covid 19 eras. © 2022, Emerald Publishing Limited.","Internal communication; Intrapreneurship; Work happiness",""
"Rastogi M.; Nanda S.; Kumar V.","Rastogi, Mohit (57734707900); Nanda, Satyajeet (57206234870); Kumar, Vinod (58728056000)","57734707900; 57206234870; 58728056000","Roles of customer and employee satisfaction on corporate performance: An empirical investigation","2023","Multidisciplinary Science Journal","5","","e2023ss0305","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175081504&doi=10.31893%2fmultiscience.2023ss0305&partnerID=40&md5=17b2c02a08c45b308b40440d13c2136e","Employee satisfaction must be improved since it is essential to any organization's ability to succeed financially. This research aims to investigate the link between customer satisfaction and employee satisfaction as well as how each affects organizational success. The impact of several organizational elements on employee satisfaction is examined in this research. In this cohort study, qualitative research techniques were used. A self-administrated questionnaire with multiple choice and release ruined questions were used to gather the data. The results of the principal component analysis (PCA) based on the correlation matrix showed that among the cohorts examined, where consumers had also indicated satisfaction with the current services, there was a high level of employee (hotel staff) satisfaction. Customers' comfort and subsequent satisfaction have mostly been influenced by ambient cleanliness, wholesome meals, and hotel services. From the viewpoint of the workers, a positive work environment combined with rewards like pay and regular training motivated the staff to work devotedly to improve the organization, which is reflected in the customers' satisfaction levels. Our research supports the existence of an indirect relationship mediated by customers between organizational performance and employee happiness. In conclusion, it is plausible to assume that awareness of employee roles is crucial since it seems to be a crucial component of the success of contemporary organizations. © 2023 Malque Publishing.","customer satisfaction; employee satisfaction; job satisfaction; organizational success",""
"Moulik M.; Giri V.N.","Moulik, Mimi (57225072229); Giri, V.N. (7004592518)","57225072229; 7004592518","Job Crafting for Workplace Happiness: A Study of Millennials Across Indian Service Sectors","2024","Business Perspectives and Research","12","2","","242","260","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153600363&doi=10.1177%2f22785337221148252&partnerID=40&md5=9617e20661f562c05fae72353e5dd301","The article examines the relationship between proactive job crafting and workplace happiness in the context of millennials associated with the Indian service sector. This study was conducted with 310 millennial employees associated with IT and ITES, telecom, and banking services. The study used self-reporting questionnaires, and the hypotheses were tested using structural equation modeling. The study highlights the nature of job crafting in a hitherto under-researched sector of the Indian economy. The findings suggest that job crafting has a positive influence on driving employee happiness. Crafting structural job resources predicted millennials’ job satisfaction and work engagement. Crafting by seeking social resources and challenging demands was positively associated with commitment and engagement. The study is relevant in the wake of the coronavirus pandemic when organizations are keen to address employee happiness at work. It provides evidence from the Indian service organizations for the implications of adopting job crafting behavior at work to test the adoption of theories developed in the Anglo-Saxon cultures. © 2023 KJ Somaiya Institute of Management.","commitment; engagement; Job crafting; job satisfaction; millennials; workplace happiness",""
"","","","Nurturing career growth, thriving, and happiness at work: Cross-sector lessons on how HR systems affect employee wellbeing","2024","Human Resource Management International Digest","32","2","","16","18","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178074747&doi=10.1108%2fHRMID-11-2023-0218&partnerID=40&md5=228dc99b3a8cbda29d272293b0410940","Purpose: This paper aims to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies. Design/methodology/approach: This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context. Findings: This cross-industry study from Pakistan examines the impact of high-performance work systems (HPWS) on employee happiness, career aspiration levels, and employees' ability to thrive at work. The results showed that HPWS measures like training, rewards, and involvement did indirectly improve employee happiness by enabling career aspirations and by helping employees thrive. Therefore, managers are advised to implement these practices consistently, with the aim of boosting retention, happiness, energy for work, positivity in collaboration, and innovative output among employee team communities. Originality/value: The briefing saves busy executives, strategists and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to-digest format. © 2023, Emerald Publishing Limited.","Career aspiration; Employee wellbeing; Happiness at work; High-performance work systems (HPWS); HR systems; Thriving",""
"Tehci A.; Senbursa N.","Tehci, Ali (57792184100); Senbursa, Nihan (57105773700)","57792184100; 57105773700","Maritime employees' happiness with internal marketing strategies","2023","Maritime Wellbeing","","","","1","12","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172675702&partnerID=40&md5=4ffe721547a1447cc00a0159e0e0b74b","One of the biggest responsibilities of human resources managers is to provide the right workforce. However today, in addition to employing the workforce, ensuring that talented employees are happy in the organization is another responsibility of human resources. The happiness of the employees in the workplace is very important for the sustainability and profitability of the organizations. Therefore, this study is evaluated from a marketing and managerial perspective so that companies can be more sensitive about the happiness of their employees. For this reason, it is aimed to examine the relationship between internal marketing activities and the happiness of the employees and to determine whether the working time causes a significant difference on the happiness of the employees. The research data was obtained from the employees of a maritime enterprise operating in Turkey, by means of an electronic questionnaire as a result of the convenience sampling method. As a result, in this study, internal marketing emerged as a 3-dimensional structure. It has been determined that there is a positive and significant relationship between internal marketing dimensions and employee happiness. In consequence of the regression analysis, it was determined that ""education and development"" and ""vision and communication"" dimensions had a positive effect on employee happiness, while the ""performance measurement and rewarding"" dimension did not have a significant effect. In addition, it was concluded that the working time did not cause a significant difference to the happiness of the employees. © 2023 Nova Science Publishers, Inc. All rights reserved.","Employee happiness; Internal marketing; Maritime business management; Maritime industry; Work outcomes",""
"Malhotra A.","Malhotra, Abhiraj (58195199100)","58195199100","Quantifying Performance of Human using AI : A Data-Driven Exploration","2023","2023 3rd International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2023","","","","2848","2853","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178264178&doi=10.1109%2fICACITE57410.2023.10183250&partnerID=40&md5=11278da8479fa72c90edc0611ef5f57d","People's employability, skill, and drive may provide a long-term competitive advantage since these factors are difficult to replicate by rivals. Human engagement, and especially that of employees, has been singled out as a critical management strategy for creating this competitive edge. The fields of industrial relations and human resource management, however, have historically taken opposing stances on the importance of employees' input.The former has been steered by economic insights, while the latter is founded on employee reactions to choices made at work. Three of the most well-known ways to get workers invested in their company are via managerial or decision-making responsibilities, financial incentives, and stock holdings. 50 businesses in the NCR Reigon, India, were surveyed to see how three participation strategies affected employee happiness, productivity, and company success. 500 answers were collected from staff members regarding their involvement habits and general happiness, providing objective data for use in evaluating the organization's success. The findings demonstrated a substantial association between any type of engagement and employee well-being, even after adjusting for firm size and industry. Participation in making decisions by workers was shown to have a negative correlation with productivity on the job. Financial involvement procedures did not seem to have any correlation with the efficiency of the organisation, according to the statistical research. This study lends credence to the idea that one of the pillars of HR practises has a positive impact on employee well-being, but it does not provide conclusive evidence that employee involvement directly corresponds to better business results.Scientists and academic contributors get access to new areas of inquiry, while business leaders gain valuable insights. © 2023 IEEE.","Administrative science; AI Human Resource Management; Employee well-being; Statistical Analysis","Behavioral research; Competition; Decision making; Digital storage; Information management; Natural resources management; Resource allocation; Administrative science; AI human resource management; Competitive advantage; Data driven; Employability skills; Employee well-being; Human resources management; Performance; Well being; Workers'; Human resource management"
"Muttaqin M.; Birton M.N.A.","Muttaqin, Muhammad (59176281600); Birton, M. Nur A. (57219305649)","59176281600; 57219305649","Intersubjectivity on organizational goal congruence and performance measurement process: evidence from an Indonesian firm","2024","Journal of Accounting in Emerging Economies","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196142216&doi=10.1108%2fJAEE-09-2022-0279&partnerID=40&md5=b495e8f49c8a370e2af31780f048c6b6","Purpose: This study aims to examine the role of intersubjectivity portrayed in employees’ mundane activities in achieving goal congruence between individual and organizational goals within the performance measurement process. Design/methodology/approach: Semi-structured in-depth interviews were conducted with five employees as key informants of each department. Observations were carried out unstructured to collect information about key performance indicator (KPI) and their achievements. Combining the interpretative phenomenological analysis (IPA) and Schutz’s phenomenology, the data analysis stage includes coding (interpretation, condensation and categorization of themes) and thematic analysis. Findings: The findings show employees’ different feelings and actions in achieving their KPIs. Therefore, the anticipations of obstacles in achieving KPI were based on the intersubjective influence of personal goals, company goals, peers, bosses/departments and customers. Thus, in achieving KPI, employees strive to simultaneously achieve personal goals as well as company goals. Research limitations/implications: Previous literature on management accounting mainly focuses on organizational perspective and less on individual-centred phenomenological perspective. This study tries to fill this gap by exploring how intersubjectivity plays a role in employees’ mundane experiences. Practical implications: In designing and applying KPI, the company should consider employees’ happiness as it could reflect job satisfaction, leading to high performance. Originality/value: This study contributes to the literature on goal congruence, performance measurement and management control by extending prior research by Cugueró-Escofet and Rosanas (2013) and Cugueró-Escofet et al. (2019) in empirically portraying how employees perceive goal congruence in the performance measurement process with IPA. © 2024, Emerald Publishing Limited.","Goal congruence; Interpretative phenomenological analysis; Intersubjectivity; Key performance indicator; Schutz’s phenomenology",""
