Source,Abstract
s,"Researchers in the field of HRM and Strategic HRM have for several decades engaged in research endeavours to identify the link between HR investments and firm performance. Despite this, the field still has some way to go to definitively demonstrate this causal relationship; partly due to the cross-sectional nature of much of this research. In the current paper, we give a brief overview of the SHRM field and the benefits that the new subfield of People Analytics (PA) might bring to the area. We also conduct a brief survey of research in Insider Econometrics, an approach used in Personnel Economics to produce empirical estimates of the value of HR practices, to highlight longitudinal intra-firm research in economics that could provide insights to research exploring the HR investment-performance link (important in both SHRM and PA fields). We discuss the value of combining the business impact perspective of People Analytics that has a unique ‘inside’ (intra-firm) position, with the longitudinal intra-firm analysis approaches utilized in Insider Econometrics. We suggest that People Analytics researchers, who are able to draw on the theoretical developments in HRM field, would benefit from exploring existing research insights and methodological techniques used within the field of Insider Econometrics. © 2020 Informa UK Limited, trading as Taylor & Francis Group."
s,"HR analytics is an emerging field attracting substantial practitioner and academic attention. This article introduces the special issue on HR Aanalytics for the HRMJ. Several recent reviews in the area have struggled to find HR analytics research in the published literature and a key aim of this special issue is to show case high quality analytic projects and cutting-edge analytic techniques to contribute to this emerging subfield of HRM. Before considering the papers in the special issue, we reflect on two key challenges in the area: First, HR analytics is not a recognized keyword, this makes it difficult to categorise and identify HR analytics research in the field. Second, there are a growing number of reviews of a field that has a limited range of recognised examples of empirical papers to draw on. We discuss the difficulties and potential political sensitivities for practitioners seeking to publish ‘within firm’ HR analytics projects. We also consider the growing recognition that organisations engaging in HR analytics projects have a range of ethical challenges to deal with going forward. © 2022 John Wiley & Sons Ltd."
s,"Relational analytics—the leveraging of data on workplace relationships—acts as a complement to traditional people analytics and moves scholars and practitioners closer to an understanding of the realities of the modern workplace. This article serves as a primer for relational analytics by highlighting the potential of the perspective for human resources, the levels of analysis that can be used to study relational analytics, and some of the common theoretical perspectives employed in this area. We introduce the 15 articles in the special issue by positioning them within broader trends we see in the field of relational analytics. Finally, we provide commentary on challenges and future directions in relational analytics with a focus on how the articles in this special issue may serve as examples of best practices and inspiration for future research and practice. © 2023 Wiley Periodicals LLC."
s,"For more than two decades, academicians and practitioners have been theorising the role of people analytics in enhancing the efficiency, effectiveness and impact of the human resource (HR) management function, thereby prescribing people analytics as an enabler of HR strategic partnership. The objective of this study is to identify and synthesise existing literature on people analytics and its conceptualised efficacy. This is done with a view to assess how and why people analytics enhances HR as a field and elevates it to a function of strategic significance. The study uses the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) framework for systematic literature review to address the research objective. A total of 90 articles on the subject are identified majorly from Scopus. The analysis of this literature reveals four significant themes underscoring the role people analytics can play in enabling HR as a field and function. These include the following: (a) application of people analytics leads to greater vertical, horizontal and external alignment of the HR function; (b) people analytics facilitates better integration of HR management with the organisation’s strategic planning process; (c) people analytics aids the demonstration of causal links between HR management and business performance; and finally (d) people analytics endows the field with scientific rigour, consistency and resulting credibility. The study contributes to the existing knowledge on people analytics and HR strategy linkage by building a foundation and offering specific propositions for empirical enquiry relating the two. The significance of the study also emanates from its focus on the efficacy of people analytics which is being viewed as an HR approach with immense potential. © The Author(s) 2022."
s,"The advancement of data technology such as machine learning and artificial intelligence has broadened the scope of human resources (HR) analytics, commonly referred to as “people analytics.” This field has seen significant growth in recent years as organizations increasingly rely on algorithm-based predictive tools for HR-related decision making. However, its application in the public sector is not yet fully understood. This study examined the concepts and practices of HR analytics through a thematic review, and proposed a five-step process (define, collect, analyze, share, and reflect) for implementation in the public sector—the process aims to assist with the integration of HR analytics in public personnel management practices. By analyzing cases in both the public and private sectors, this study identified key lessons for functional areas such as workforce planning, recruitment, HR development, and performance management. This research also identified the necessary conditions for introducing HR analytics in public organizations, including data management, staff capabilities, and acceptance, and discussed the potential challenges of privacy, integrity, algorithmic bias, and publicness. © 2023 by the authors."
s,"The aim of this paper is to review the current state of the art in the application of HR analytics in businesses as well as the potential implications for future work. A systematic literature review (SLR) method was used. The review comprised eight articles, according to the inclusion and exclusion criteria, from various industries and countries. The findings of this study revealed that HR analytics is becoming crucial for organizations as they strive to improve their ability to attract and retain skilled individuals in an increasingly competitive global environment. HR analytics may assist businesses in making more data-driven and strategic workforce management decisions such as talent acquisition, retention, training, and development. This study also discusses the potential ethical and legal issues related to the use of HR analytics. Overall, this paper recommends that the use of HR analytics will play a crucial role in the future of work, and that organizations should pay attention to the benefits of HR analytics and address the challenges that may arise in the future.  © 2023 IEEE."
s,"Purpose: This research analyzed the existing academic and grey literature concerning the technologies and practices of people analytics (PA), to understand how ethical considerations are being discussed by researchers, industry experts and practitioners, and to identify gaps, priorities and recommendations for ethical practice. Design/methodology/approach: An iterative “scoping review” method was used to capture and synthesize relevant academic and grey literature. This is suited to emerging areas of innovation where formal research lags behind evidence from professional or technical sources. Findings: Although the grey literature contains a growing stream of publications aimed at helping PA practitioners to “be ethical,” overall, research on ethical issues in PA is still at an early stage. Optimistic and technocentric perspectives dominate the PA discourse, although key themes seen in the wider literature on digital/data ethics are also evident. Risks and recommendations for PA projects concerned transparency and diverse stakeholder inclusion, respecting privacy rights, fair and proportionate use of data, fostering a systemic culture of ethical practice, delivering benefits for employees, including ethical outcomes in business models, ensuring legal compliance and using ethical charters. Research limitations/implications: This research adds to current debates over the future of work and employment in a digitized, algorithm-driven society. Practical implications: The research provides an accessible summary of the risks, opportunities, trade-offs and regulatory issues for PA, as well as a framework for integrating ethical strategies and practices. Originality/value: By using a scoping methodology to surface and analyze diverse literatures, this study fills a gap in existing knowledge on ethical aspects of PA. The findings can inform future academic research, organizations using or considering PA products, professional associations developing relevant guidelines and policymakers adapting regulations. It is also timely, given the increase in digital monitoring of employees working from home during the Covid-19 pandemic. © 2021, Aizhan Tursunbayeva, Claudia Pagliari, Stefano Di Lauro and Gilda Antonelli."
s,"Over the last decade we have seen a significant shift in how organisations monitor and control their workforce. People analytics is becoming ever more extensive and invasive - from cameras checking if workers are at their desk to wearables reporting on worker wellness. We know little, however, on how such technologies of control are supporting management in making well informed decisions about their workers. Drawing from insights from a 16 month ethnographic study, we address this shortcoming through exploring how biometric data is being used to manage people in an elite sports organisation. Our study sheds light on a new form of control enacted through the use of biometric data - a shared control of the body - which calls for a closer relationship between managers and workers as they together attempt to control the body as the main subject of work performance. In particular, we follow the ways in which managers and workers negotiate towards a shared control of the body. Encompassing our findings as part of a theoretical model, we highlight how our findings have implications for theory on organisation control and resistance as well as for people analytics. © 2023, Academy of Management. All rights reserved."
s,"In the machine learning process, sometimes due to vague assumptions, an algorithm that produces results that are prejudiced systematically is called an Algorithm Bias, Artificial Intelligence Bias, or Machine Learning Bias. There are several forms of Artificial Intelligence bias that promote gender biases. Machine learning models and training data sets are influenced by human developers’ cognitive biases. An algorithm gets hardcoded by such biases and incomplete data produces gender biases as well. If any information retrieved from a dataset is omitted by a cognitive bias, it brings biases. Thus, it is very important to ensure that the Artificial Intelligence data set should represent the complete population, and built-in biases must be overcome. In the present scenario, people’s behavior and opinions are very much influenced by Artificial Intelligence knowingly and unknowingly. In the design pattern of technologies, gender inequality has crept in due to the over-representation of men in the system. The present chapter focuses on the role of Artificial Intelligence and biased algorithms in the models of the Artificial Intelligence-based decision-making process. It is essential to understand as now Artificial Intelligence and HR/higher management are going together to manage human resources to enable organizations to achieve long-term goals. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
s,"Attrition models combine variables into statistical algorithms to understand and predict employee turnover. People analytics teams and external vendors use attrition models to offer insights and to develop organisational interventions. However, if attrition models or other data-driven models inform employment decisions, model scores may then be subjected to civil rights laws and diversity concerns resulting from group differences in scores. This paper discusses adverse impact when building attrition models, outlining how researchers test for adverse impact in this context, strategies to reduce group differences and how attrition modelling and other human resources ‘big data’ predictions fit within larger validity frameworks. Procedures were applied to field data in an applied demonstration of an attrition model with disparate impact. Model revisions resulted in adverse impact reductions while simultaneously maintaining model validity. Collectively, this paper provides timely attention to important aspects of the people analytics, turnover and legal domains. © 2021 John Wiley & Sons Ltd."
s,"The main emphasis of this chapter is to identify the effect of motivation on variables of employee job performance in people analytics, which is seen as one of the major initiatives in human resources. The secondary sources have been utilised to identify the sources of the thematic approach. Considering this, the study explains how to determine the moderating factors in people analytics. The chapter offers an introduction to problem identification and focuses on detailed literature that helps in finding factors relevant according to the theme that has been elaborated in a thematic approach. A part of the Prisma model has been used to explain the four stages of literature identification. The moderating factors have been better explained through the case studies, and one case study has been explained in the context of an Indian scenario. While explaining the moderating factors, thematic methods have been used using manual screening. The major highlights have been reviewed, discussed, and summarised. © 2023, IGI Global. All rights reserved."
s,"Background: Human resource management (HRM) is the tactical method for a business enterprise’s optimistic and systemic administration. This study aims to identify the common and major triggering attributes and the knowledge gap between HRM and an organisation’s employee attrition rate. Method: The employee Attrition Case Study Dataset used is an anecdotal data set that tries to figure out relevant variables that determine employee behavioural aspects towards attrition. This study investigates why attrition occurs, the major triggering attributes for employee turnover, and how it might be anticipated to employ artificial intelligence (AI) to avert corporate losses. Results: Employees’ monthly income, age, average monthly hours, distance from home, total working years, years at the company, per cent of salary hike, number of companies worked, stock options level, job role and other factors are taken into consideration. A feature importance extraction framework was devised to investigate the various dormant factors. The findings also show feasible hypotheses that help enhance employee engagement, reinvent the worker dynamic, and higher levels of risk decrease attrition rate. Implications: Employees’ monthly income, age, average monthly hours, distance from home, etc., are all major variables in employee attrition in the Indian IT business. This research adds to the theory development of behavioural elements in people analytics based on AI. Purpose: Can we predict employee attrition through employee behavioural patterns advancement using AI tools. © 2023 by Jada Kameswari, Hemant Palivela, Sreekanth Settur and Poonam Solanki."
s,"Introduction: The rapid growth of high technology has urged many organisations to dynamically look for innovative ways, ideas, testing, and ingenious solution in improving their current product, process, system, and technology. For contemporary business, artificial intelligence (AI)-based people analytics is an instrument currently employed to develop a better prosperous future. Purpose: The study aims to investigate the usage of AI in human resource management (HRM) practices. It also examines the benefits and challenges of using AI in implementing people analytics in organisations. Methodology: This chapter contains a systemic review of articles and papers on analytics. The presented qualitative study did a literature review based on the articles published in the last five years and extracted from the Scopus database. Findings: This chapter indicated that AI-based people analytics is on the verge of changing various aspects of HRM practices better to furnish it for a vibrant, ever-changing workplace. It concludes different usage of AI in people analytics for better managing human resources (HR) at the workplace. Also explored the benefits and challenges of implementing AI in the people analytics domain. Implications: This chapter will help understand ongoing practices of AIenabled process benefits and challenges. This insight will help develop a better AI-enabled function for a better decision-making system. The future scope of the study is how to overcome the challenges. © 2023 by Anjali Rai and Lata Bajpai Singh."
s,"Each company tries its hardest to make the best use of its employees in order to accomplish the business's profitability. However, they encounter a number of issues unique to their best employees, which is frequently where people analytics comes into play. Day-to-day operations, procedural efficiencies, and other strategic operational challenges are handled by HR analytics. As a result, HR analytics considers all components of an organization at a high level, whereas work force analytics concentrates on personnel data such as engagement, job satisfaction, and success. The wide category of HR analytics includes labor force analytics. Employees leave for a number of reasons, including dissatisfaction with their pay, stagnant career advancement, and so on. A great defeat is possible for a firm to be profitable not just in terms of money, but also in terms of losing valuable employees. If the company determines whether or not that employee should be promoted, predicts what proportion of earnings that employee should receive, and determines whether or not that employee will leave the company in the near future, the company will work on employee retention in advance to keep their valuable and hardworking employees. Machine learning approaches might be used to forecast staff turnover and retention. Each modern organization accumulates a wide range of employee data; We'll utilize this data, analyze it, and extract insights from it so that the firm can make better decisions about how to conduct employees job.  © 2022 IEEE."
s,"People analytics or HR analytics have become the lifeblood of the mainstream HR tech. It has been playing a vital role in HR decision-making. With its varied functionalities, it is benefitting the organization in terms of task automation, improving employee experiences, measuring performance and analysing high employee turnover, etc. In the current business scenario analytics is the most important tool needed by a company to gain insights to take intelligent business decision. From static to descriptive, descriptive to predictive and finally predictive to prescriptive, people analytics has come a long way. Predictive people analytics helps in forecasting future for effective decision-making, whereas prescriptive people analytics provides intelligent recommendations for the minimal next steps to obtain desired results. This chapter is an earnest attempt in exploring the people analytics and its journey from predictive analytics to prescriptive analytics. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
