"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords"
"Larsson A.-S.; Edwards M.R.","Larsson, Anne-Sophie (57203155578); Edwards, Martin R. (36132794400)","57203155578; 36132794400","Insider econometrics meets people analytics and strategic human resource management","2022","International Journal of Human Resource Management","33","12","","2373","2419","46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099554618&doi=10.1080%2f09585192.2020.1847166&partnerID=40&md5=c1cf0bf52c0b15d8c1c65c5768eb29be","Researchers in the field of HRM and Strategic HRM have for several decades engaged in research endeavours to identify the link between HR investments and firm performance. Despite this, the field still has some way to go to definitively demonstrate this causal relationship; partly due to the cross-sectional nature of much of this research. In the current paper, we give a brief overview of the SHRM field and the benefits that the new subfield of People Analytics (PA) might bring to the area. We also conduct a brief survey of research in Insider Econometrics, an approach used in Personnel Economics to produce empirical estimates of the value of HR practices, to highlight longitudinal intra-firm research in economics that could provide insights to research exploring the HR investment-performance link (important in both SHRM and PA fields). We discuss the value of combining the business impact perspective of People Analytics that has a unique ‘inside’ (intra-firm) position, with the longitudinal intra-firm analysis approaches utilized in Insider Econometrics. We suggest that People Analytics researchers, who are able to draw on the theoretical developments in HRM field, would benefit from exploring existing research insights and methodological techniques used within the field of Insider Econometrics. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","HR analytics; Human resource management; insider econometrics; intrafirm analysis; longitudinal methods; people analytics; personnel economics; strategic human resource management",""
"Edwards M.R.; Charlwood A.; Guenole N.; Marler J.","Edwards, Martin R. (36132794400); Charlwood, Andy (6602509858); Guenole, Nigel (16480602600); Marler, Janet (10540622300)","36132794400; 6602509858; 16480602600; 10540622300","HR analytics: An emerging field finding its place in the world alongside simmering ethical challenges","2024","Human Resource Management Journal","34","2","","326","336","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124718930&doi=10.1111%2f1748-8583.12435&partnerID=40&md5=b6996cd4afd6bd6d6a9e064bcfc681bb","HR analytics is an emerging field attracting substantial practitioner and academic attention. This article introduces the special issue on HR Aanalytics for the HRMJ. Several recent reviews in the area have struggled to find HR analytics research in the published literature and a key aim of this special issue is to show case high quality analytic projects and cutting-edge analytic techniques to contribute to this emerging subfield of HRM. Before considering the papers in the special issue, we reflect on two key challenges in the area: First, HR analytics is not a recognized keyword, this makes it difficult to categorise and identify HR analytics research in the field. Second, there are a growing number of reviews of a field that has a limited range of recognised examples of empirical papers to draw on. We discuss the difficulties and potential political sensitivities for practitioners seeking to publish ‘within firm’ HR analytics projects. We also consider the growing recognition that organisations engaging in HR analytics projects have a range of ethical challenges to deal with going forward. © 2022 John Wiley & Sons Ltd.","ethics; HR analytics; multi-level modelling; people analytics; quantitative data; strategic HRM; textual analysis",""
"Soltis S.M.; Methot J.R.; Gittell J.H.; Harris T.B.","Soltis, Scott M. (55113874600); Methot, Jessica R. (36661226000); Gittell, Jody Hoffer (6602991515); Harris, T. Brad (56156426800)","55113874600; 36661226000; 6602991515; 56156426800","Leveraging relational analytics in human resource research and practice","2023","Human Resource Management","62","4","","377","389","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159654243&doi=10.1002%2fhrm.22172&partnerID=40&md5=14cb625d8e99480b382f321864effc6e","Relational analytics—the leveraging of data on workplace relationships—acts as a complement to traditional people analytics and moves scholars and practitioners closer to an understanding of the realities of the modern workplace. This article serves as a primer for relational analytics by highlighting the potential of the perspective for human resources, the levels of analysis that can be used to study relational analytics, and some of the common theoretical perspectives employed in this area. We introduce the 15 articles in the special issue by positioning them within broader trends we see in the field of relational analytics. Finally, we provide commentary on challenges and future directions in relational analytics with a focus on how the articles in this special issue may serve as examples of best practices and inspiration for future research and practice. © 2023 Wiley Periodicals LLC.","human resource management; relational analytics; relational coordination; social networks","article; human; resource management; social network"
"Suri N.; Lakhanpal P.","Suri, Neha (57908105000); Lakhanpal, Pooja (55819363400)","57908105000; 55819363400","People Analytics Enabling HR Strategic Partnership: A Review","2024","South Asian Journal of Human Resources Management","11","1","","130","164","34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138776861&doi=10.1177%2f23220937221119599&partnerID=40&md5=166cf9362575b40747ede5dd88451d07","For more than two decades, academicians and practitioners have been theorising the role of people analytics in enhancing the efficiency, effectiveness and impact of the human resource (HR) management function, thereby prescribing people analytics as an enabler of HR strategic partnership. The objective of this study is to identify and synthesise existing literature on people analytics and its conceptualised efficacy. This is done with a view to assess how and why people analytics enhances HR as a field and elevates it to a function of strategic significance. The study uses the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) framework for systematic literature review to address the research objective. A total of 90 articles on the subject are identified majorly from Scopus. The analysis of this literature reveals four significant themes underscoring the role people analytics can play in enabling HR as a field and function. These include the following: (a) application of people analytics leads to greater vertical, horizontal and external alignment of the HR function; (b) people analytics facilitates better integration of HR management with the organisation’s strategic planning process; (c) people analytics aids the demonstration of causal links between HR management and business performance; and finally (d) people analytics endows the field with scientific rigour, consistency and resulting credibility. The study contributes to the existing knowledge on people analytics and HR strategy linkage by building a foundation and offering specific propositions for empirical enquiry relating the two. The significance of the study also emanates from its focus on the efficacy of people analytics which is being viewed as an HR approach with immense potential. © The Author(s) 2022.","e-HRM; general HRM; HR metrics/analytics; HR strategy/HR roles; HR technology",""
"Cho W.; Choi S.; Choi H.","Cho, Wonhyuk (55339184400); Choi, Seeyoung (58115864500); Choi, Hemin (57217045562)","55339184400; 58115864500; 57217045562","Human Resources Analytics for Public Personnel Management: Concepts, Cases, and Caveats","2023","Administrative Sciences","13","2","41","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148763788&doi=10.3390%2fadmsci13020041&partnerID=40&md5=bece3a38e94b7c7f9264103a80abafc9","The advancement of data technology such as machine learning and artificial intelligence has broadened the scope of human resources (HR) analytics, commonly referred to as “people analytics.” This field has seen significant growth in recent years as organizations increasingly rely on algorithm-based predictive tools for HR-related decision making. However, its application in the public sector is not yet fully understood. This study examined the concepts and practices of HR analytics through a thematic review, and proposed a five-step process (define, collect, analyze, share, and reflect) for implementation in the public sector—the process aims to assist with the integration of HR analytics in public personnel management practices. By analyzing cases in both the public and private sectors, this study identified key lessons for functional areas such as workforce planning, recruitment, HR development, and performance management. This research also identified the necessary conditions for introducing HR analytics in public organizations, including data management, staff capabilities, and acceptance, and discussed the potential challenges of privacy, integrity, algorithmic bias, and publicness. © 2023 by the authors.","algorithm; data management; HR analytics; people analytics; talent analytics",""
"Elrehail H.","Elrehail, Hamzah (57189906502)","57189906502","HR Analytics and Future of Work: A Systematic Literature Review","2023","2nd International Conference on Business Analytics for Technology and Security, ICBATS 2023","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160721735&doi=10.1109%2fICBATS57792.2023.10111370&partnerID=40&md5=e13f2840ec5d187ab3cce95b85664bd8","The aim of this paper is to review the current state of the art in the application of HR analytics in businesses as well as the potential implications for future work. A systematic literature review (SLR) method was used. The review comprised eight articles, according to the inclusion and exclusion criteria, from various industries and countries. The findings of this study revealed that HR analytics is becoming crucial for organizations as they strive to improve their ability to attract and retain skilled individuals in an increasingly competitive global environment. HR analytics may assist businesses in making more data-driven and strategic workforce management decisions such as talent acquisition, retention, training, and development. This study also discusses the potential ethical and legal issues related to the use of HR analytics. Overall, this paper recommends that the use of HR analytics will play a crucial role in the future of work, and that organizations should pay attention to the benefits of HR analytics and address the challenges that may arise in the future.  © 2023 IEEE.","future of work; HR analytics; human capital management; people analytics; workforce analytics","'current; Capital management; Future of works; HR analytic; Human capital management; Human capitals; People analytic; State of the art; Systematic literature review; Workforce analytic; Personnel"
"Ghatak R.","Ghatak, Rahul (58506673200)","58506673200","People Analytics Data to Decisions","2022","Management for Professionals","Part F528","","","1","243","242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165891082&partnerID=40&md5=c59aca4beda31009525fc6e30e269858","[No abstract available]","",""
"Tursunbayeva A.; Pagliari C.; Di Lauro S.; Antonelli G.","Tursunbayeva, Aizhan (55070666300); Pagliari, Claudia (7003869461); Di Lauro, Stefano (57203623605); Antonelli, Gilda (57195564426)","55070666300; 7003869461; 57203623605; 57195564426","The ethics of people analytics: risks, opportunities and recommendations","2022","Personnel Review","51","3","","900","921","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102929701&doi=10.1108%2fPR-12-2019-0680&partnerID=40&md5=d0dcf4ed315b8e60a95db4287c8be40d","Purpose: This research analyzed the existing academic and grey literature concerning the technologies and practices of people analytics (PA), to understand how ethical considerations are being discussed by researchers, industry experts and practitioners, and to identify gaps, priorities and recommendations for ethical practice. Design/methodology/approach: An iterative “scoping review” method was used to capture and synthesize relevant academic and grey literature. This is suited to emerging areas of innovation where formal research lags behind evidence from professional or technical sources. Findings: Although the grey literature contains a growing stream of publications aimed at helping PA practitioners to “be ethical,” overall, research on ethical issues in PA is still at an early stage. Optimistic and technocentric perspectives dominate the PA discourse, although key themes seen in the wider literature on digital/data ethics are also evident. Risks and recommendations for PA projects concerned transparency and diverse stakeholder inclusion, respecting privacy rights, fair and proportionate use of data, fostering a systemic culture of ethical practice, delivering benefits for employees, including ethical outcomes in business models, ensuring legal compliance and using ethical charters. Research limitations/implications: This research adds to current debates over the future of work and employment in a digitized, algorithm-driven society. Practical implications: The research provides an accessible summary of the risks, opportunities, trade-offs and regulatory issues for PA, as well as a framework for integrating ethical strategies and practices. Originality/value: By using a scoping methodology to surface and analyze diverse literatures, this study fills a gap in existing knowledge on ethical aspects of PA. The findings can inform future academic research, organizations using or considering PA products, professional associations developing relevant guidelines and policymakers adapting regulations. It is also timely, given the increase in digital monitoring of employees working from home during the Covid-19 pandemic. © 2021, Aizhan Tursunbayeva, Claudia Pagliari, Stefano Di Lauro and Gilda Antonelli.","Ethics; HR analytics; HRIS; Human resource information systems; Human resource management; People analytics; Workforce analytics",""
"Downie L.; Pachidi S.; Huysman M.; Hafermalz E.","Downie, Lorna (58987277500); Pachidi, Stella (36606781100); Huysman, Marleen (6603074344); Hafermalz, Ella (57080064700)","58987277500; 36606781100; 6603074344; 57080064700","ON THE RIGHT TRACK? STUDYING THE USE OF BIOMETRIC DATA TO MANAGE PEOPLE IN A SPORTS ORGANISATION","2023","Academy of Management Annual Meeting Proceedings","2023","1","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190435216&doi=10.5465%2fAMPROC.2023.209bp&partnerID=40&md5=96c47dff963f31833e25a034ee82d16c","Over the last decade we have seen a significant shift in how organisations monitor and control their workforce. People analytics is becoming ever more extensive and invasive - from cameras checking if workers are at their desk to wearables reporting on worker wellness. We know little, however, on how such technologies of control are supporting management in making well informed decisions about their workers. Drawing from insights from a 16 month ethnographic study, we address this shortcoming through exploring how biometric data is being used to manage people in an elite sports organisation. Our study sheds light on a new form of control enacted through the use of biometric data - a shared control of the body - which calls for a closer relationship between managers and workers as they together attempt to control the body as the main subject of work performance. In particular, we follow the ways in which managers and workers negotiate towards a shared control of the body. Encompassing our findings as part of a theoretical model, we highlight how our findings have implications for theory on organisation control and resistance as well as for people analytics. © 2023, Academy of Management. All rights reserved.","","Biometrics; Sports; Wearable technology; Biometric data; Ethnographic study; Informed decision; Monitor and control; New forms; Shared control; Theoretical modeling; Work performance; Workers'; Human resource management"
"Pathak S.; Solanki V.K.; Linh N.T.D.","Pathak, Sonal (57216863137); Solanki, Vijender Kumar (55823149200); Linh, Nguyen Thi Dieu (57222258813)","57216863137; 55823149200; 57222258813","Gender Biasness – A Victim of Artificial Intelligence-Based Development","2024","Signals and Communication Technology","Part F1803","","","81","98","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177893437&doi=10.1007%2f978-3-031-45237-6_8&partnerID=40&md5=d595bd777f2e8266e574c9b76fa30293","In the machine learning process, sometimes due to vague assumptions, an algorithm that produces results that are prejudiced systematically is called an Algorithm Bias, Artificial Intelligence Bias, or Machine Learning Bias. There are several forms of Artificial Intelligence bias that promote gender biases. Machine learning models and training data sets are influenced by human developers’ cognitive biases. An algorithm gets hardcoded by such biases and incomplete data produces gender biases as well. If any information retrieved from a dataset is omitted by a cognitive bias, it brings biases. Thus, it is very important to ensure that the Artificial Intelligence data set should represent the complete population, and built-in biases must be overcome. In the present scenario, people’s behavior and opinions are very much influenced by Artificial Intelligence knowingly and unknowingly. In the design pattern of technologies, gender inequality has crept in due to the over-representation of men in the system. The present chapter focuses on the role of Artificial Intelligence and biased algorithms in the models of the Artificial Intelligence-based decision-making process. It is essential to understand as now Artificial Intelligence and HR/higher management are going together to manage human resources to enable organizations to achieve long-term goals. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Artificial intelligence; Artificial intelligence biased algorithm, SMART HR; Human resources; Machine learning; Smart people analytics; Training data, cognitive bias","Behavioral research; Decision making; Learning algorithms; Personnel; Population statistics; Artificial intelligence biased algorithm, SMART HR; Bias Learning; Cognitive bias; Gender bias; Learning process; Machine learning models; Machine-learning; Smart people analytic; Training data; Training data, cognitive bias; Machine learning"
