,x
npar,13
fmin,0.01282598
chisq,16.23769076
df,17
pvalue,0.507051653
baseline.chisq,24.79018371
baseline.df,26
baseline.pvalue,0.530875615
cfi,1
tli,0.036312595
nnfi,0.036312595
rfi,1
nfi,0.344995142
pnfi,0.225573747
ifi,1.097855104
rni,0.369896697
logl,-3586.474538
unrestricted.logl,-3578.355693
aic,7198.949076
bic,7256.805192
ntotal,633
bic2,7215.531501
rmsea,0
rmsea.ci.lower,0
rmsea.ci.upper,0.034484146
rmsea.pvalue,0.998207652
rmr,0.023622511
rmr_nomean,0.023622511
srmr,0.023659888
srmr_bentler,0.023659888
srmr_bentler_nomean,0.023659888
crmr,0.026335801
crmr_nomean,0.026335801
srmr_mplus,0.023623492
srmr_mplus_nomean,0.023623492
cn_05,1076.438738
cn_01,1303.382486
gfi,0.98752453
agfi,0.966976696
pgfi,0.373064822
mfi,1.000602321
ecvi,0.06672621
